 Variables ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Total Greenhouse Gas Emissions (Gg CO2-equivalent) ,"38,951.90","39,798.50","41,487.10","41,244.10","42,562.40","41,376.50","42,606.40","42,125.80","41,272.80","42,102.50","46,142.30","48,879","47,909.10","49,253.90","49,943.60","50,971.20","50,705","52,017.90","52,177.80","51,570.20"
     Carbon Dioxide (CO2) (Gg CO2-equivalent) ,"37,840.30","38,784.50","40,309.40","39,611.70","40,986.20","39,544.60","40,584.60","41,082.50","40,219.10","40,775","44,387.20","46,947.80","46,055.70","46,943.20","47,549.70","48,586.80","48,263.30","49,103.60","49,150.80","48,612.90"
     Methane (CH4) (Gg CO2-equivalent) ,223.3,225.2,231.7,258.1,239.1,229.7,232.6,241,232.1,192.2,158.6,144.3,126.4,136,105.8,98.6,100.4,114.4,109.5,110.2
     Nitrous Oxide (N2O) (Gg CO2-equivalent) ,262.3,273.9,278.5,327.7,289.8,280,299.1,228.7,234,281.4,291.4,296.3,303.6,310.7,319.1,316.8,322.3,419,464,538.3
     Hydrofluorocarbons (HFCs) (Gg CO2-equivalent) ,9.5,7.8,31.9,27.8,18.2,24,31.1,8.1,8.9,24.4,42.3,45.7,45.8,365,364.7,401.5,469.1,510,507.3,449.8
     Perfluorocarbons (PFCs) (Gg CO2-equivalent) ,519.2,439.9,521.6,833,809.7,999.2,"1,087.60",545.2,561.8,685.8,"1,104","1,270.30","1,188","1,218.80","1,260.90","1,284.40","1,235.40","1,379.60","1,437.90","1,365.60"
     Sulphur Hexafluoride (SF6) (Gg CO2-equivalent) ,29.7,27.6,27.1,35.4,46.8,49.4,56.2,15.1,11.9,84,84.8,92.7,92.5,138.3,178.9,103,93.9,100.1,127.1,119.7
     Nitrogen Trifluoride (NF3) (Gg CO2-equivalent) ,67.6,39.6,86.9,150.5,172.6,249.6,315.2,5.2,5.1,59.7,74,81.8,97,141.9,164.6,180.1,220.5,391.3,381.3,373.6
 % Of Total GHG Emissions - Carbon Dioxide (CO2) (Per Cent) ,97.1,97.5,97.2,96,96.3,95.6,95.3,97.5,97.4,96.8,96.2,96,96.1,95.3,95.2,95.3,95.2,94.4,94.2,94.3
 % Of Total GHG Emissions - Methane (CH4) (Per Cent) ,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
 % Of Total GHG Emissions - Nitrous Oxide (N2O) (Per Cent) ,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.5,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.9,1
 % Of Total GHG Emissions - Hydrofluorocarbons (HFCs) (Per Cent) ,0,0,0.1,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.7,0.7,0.8,0.9,1,1,0.9
 % Of Total GHG Emissions - Perfluorocarbons (PFCs) (Per Cent) ,1.3,1.1,1.3,2,1.9,2.4,2.6,1.3,1.4,1.6,2.4,2.6,2.5,2.5,2.5,2.5,2.4,2.7,2.8,2.6
 % Of Total GHG Emissions - Sulphur Hexafluoride (SF6) (Per Cent) ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.2,0.2,0.2,0.2
 % Of Total GHG Emissions - Nitrogen Trifluoride (NF3) (Per Cent) ,0.2,0.1,0.2,0.4,0.4,0.6,0.7,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.8,0.7,0.7
