DATE,NYGDPPCAPKDSGP
1960-01-01,3609.58943617349
1961-01-01,3774.89972567439
1962-01-01,3949.17250738907
1963-01-01,4237.23318985674
1964-01-01,4001.84580990787
1965-01-01,4211.77185801195
1966-01-01,4526.56261243082
1967-01-01,4981.5277632616
1968-01-01,5558.69756728758
1969-01-01,6233.16212190116
1970-01-01,6992.62786548272
1971-01-01,7717.84110775636
1972-01-01,8585.01991159857
1973-01-01,9319.46690484085
1974-01-01,9726.37988775993
1975-01-01,9967.0404233689
1976-01-01,10564.9566438247
1977-01-01,11133.5867624853
1978-01-01,11855.1945112046
1979-01-01,12824.9331260358
1980-01-01,13943.8386487053
1981-01-01,14726.7131866556
1982-01-01,15095.3940811327
1983-01-01,16175.2986848371
1984-01-01,17267.9858063364
1985-01-01,17136.9990546448
1986-01-01,17383.5445715606
1987-01-01,18973.0997779617
1988-01-01,20581.194391627
1989-01-01,22016.0422572019
1990-01-01,23255.9839721931
1991-01-01,24115.4052112544
1992-01-01,24955.4908412125
1993-01-01,27121.2158592928
1994-01-01,29200.6148358471
1995-01-01,30366.6861813267
1996-01-01,31335.6793387364
1997-01-01,32822.0909716755
1998-01-01,31029.2814813453
1999-01-01,32544.2810740739
2000-01-01,34876.6660315838
2001-01-01,33585.5778097046
2002-01-01,34583.2569120956
2003-01-01,36688.8980899543
2004-01-01,39790.3251457615
2005-01-01,41726.1140698446
2006-01-01,44082.2921486744
2007-01-01,46098.4287267071
2008-01-01,44526.0217387459
2009-01-01,43255.4559026521
2010-01-01,48668.5766232103
2011-01-01,50685.2962043229
2012-01-01,51663.4924026178
2013-01-01,53292.6132665485
2014-01-01,54676.7044182558
2015-01-01,55646.6187469505
2016-01-01,56757.9182667246
2017-01-01,59271.0568151876
2018-01-01,61056.5840322677
2019-01-01,61173.9047689256
2020-01-01,58056.8064188623
