DATE,RGDPNASGA666NRUG
1960-01-01,8494.6650390625
1961-01-01,9172.7646484375
1962-01-01,9811.876953125
1963-01-01,10786.9375
1964-01-01,10372.3818359375
1965-01-01,11148.708984375
1966-01-01,12349.0859375
1967-01-01,13858.5751953125
1968-01-01,15737.685546875
1969-01-01,17874.642578125
1970-01-01,20325.90234375
1971-01-01,22849.111328125
1972-01-01,25891.59375
1973-01-01,28636.78515625
1974-01-01,30388.666015625
1975-01-01,31598.6484375
1976-01-01,33948.69921875
1977-01-01,36275.09765625
1978-01-01,39096.31640625
1979-01-01,42831.65234375
1980-01-01,47163.3046875
1981-01-01,52264.55078125
1982-01-01,55976.44140625
1983-01-01,60765.00390625
1984-01-01,66107.6953125
1985-01-01,65695.9453125
1986-01-01,66578.15625
1987-01-01,73767.1171875
1988-01-01,82076.0625
1989-01-01,90413.8359375
1990-01-01,99293.4296875
1991-01-01,105934.6796875
1992-01-01,112968.40625
1993-01-01,125917.71875
1994-01-01,139891.625
1995-01-01,149965.09375
1996-01-01,161169.5625
1997-01-01,174578.734375
1998-01-01,170746.0625
1999-01-01,180519.578125
2000-01-01,196837.015625
2001-01-01,194732.796875
2002-01-01,202355.828125
2003-01-01,211534.25
2004-01-01,232306.03125
2005-01-01,249401.515625
2006-01-01,271860.46875
2007-01-01,296388.09375
2008-01-01,301925.34375
2009-01-01,302290.625
2010-01-01,346200.28125
2011-01-01,368142.0
2012-01-01,384567.0625
2013-01-01,403169.71875
2014-01-01,419046.53125
2015-01-01,431569.84375
2016-01-01,445567.6875
2017-01-01,464890.21875
2018-01-01,480873.625
2019-01-01,484399.90625
